"";"variable";"fecha";"valor";"año";"mes";"mes2"
"1";"CBA";2024-05-01;67281;"24";"may";5
"2";"CBA";2024-04-01;67489;"24";"abr";4
"3";"CBA";2024-03-01;67254;"24";"mar";3
"4";"CBA";2024-02-01;68475;"24";"feb";2
"5";"CBA";2024-01-01;69003;"24";"ene";1
"6";"CBA";2023-12-01;68669;"23";"dic";12
"7";"CBA";2023-11-01;69286;"23";"nov";11
"8";"CBA";2023-10-01;67946;"23";"oct";10
"9";"CBA";2023-09-01;67012;"23";"sept";9
"10";"CBA";2023-08-01;65370;"23";"ago";8
"11";"CBA";2023-07-01;64719;"23";"jul";7
"12";"CBA";2023-06-01;63768;"23";"jun";6
"13";"CBA";2023-05-01;63741;"23";"may";5
"14";"CBA";2023-04-01;64031;"23";"abr";4
"15";"CBA";2023-03-01;64384;"23";"mar";3
"16";"CBA";2023-02-01;64289;"23";"feb";2
"17";"CBA";2023-01-01;65046;"23";"ene";1
"18";"CBA";2022-12-01;64407;"22";"dic";12
"19";"CBA";2022-11-01;63587;"22";"nov";11
"20";"CBA";2022-10-01;61357;"22";"oct";10
"21";"CBA";2022-09-01;60393;"22";"sept";9
"22";"CBA";2022-08-01;59063;"22";"ago";8
"23";"CBA";2022-07-01;58003;"22";"jul";7
"24";"CBA";2022-06-01;56386;"22";"jun";6
"25";"CBA";2022-05-01;56095;"22";"may";5
"26";"CBA";2022-04-01;55346;"22";"abr";4
"27";"CBA";2022-03-01;54101;"22";"mar";3
"28";"CBA";2022-02-01;51903;"22";"feb";2
"29";"CBA";2022-01-01;50985;"22";"ene";1
"30";"CBA";2021-12-01;50237;"21";"dic";12
"31";"CBA";2021-11-01;50071;"21";"nov";11
"32";"CBA";2021-10-01;49949;"21";"oct";10
"33";"CBA";2021-09-01;49075;"21";"sept";9
"34";"CBA";2021-08-01;48260;"21";"ago";8
"35";"CBA";2021-07-01;48079;"21";"jul";7
"36";"CBA";2021-06-01;47811;"21";"jun";6
"37";"CBA";2021-05-01;47837;"21";"may";5
"38";"CBA";2021-04-01;48004;"21";"abr";4
"39";"CBA";2021-03-01;47691;"21";"mar";3
"40";"CBA";2021-02-01;48160;"21";"feb";2
"41";"CBA";2021-01-01;48605;"21";"ene";1
"42";"CBA";2020-12-01;47880;"20";"dic";12
"43";"CBA";2020-11-01;47599;"20";"nov";11
"44";"CBA";2020-10-01;47360;"20";"oct";10
"45";"CBA";2020-09-01;47067;"20";"sept";9
"46";"CBA";2020-08-01;46143;"20";"ago";8
"47";"CBA";2020-07-01;46119;"20";"jul";7
"48";"CBA";2020-06-01;45674;"20";"jun";6
"49";"CBA";2020-05-01;45833;"20";"may";5
"50";"CBA";2020-04-01;46070;"20";"abr";4
"51";"CBA";2020-03-01;45528;"20";"mar";3
"52";"CBA";2020-02-01;45219;"20";"feb";2
"53";"CBA";2020-01-01;45105;"20";"ene";1
"54";"CBA";2019-12-01;44518;"19";"dic";12
"55";"CBA";2019-11-01;45093;"19";"nov";11
"56";"CBA";2019-10-01;43807;"19";"oct";10
"57";"CBA";2019-09-01;43401;"19";"sep";9
"58";"CBA";2019-08-01;43176;"19";"ago";8
"59";"CBA";2019-07-01;42937;"19";"jul";7
"60";"CBA";2019-06-01;43066;"19";"jun";6
"61";"CBA";2019-05-01;42860;"19";"may";5
"62";"CBA";2019-04-01;43100;"19";"abr";4
"63";"CBA";2019-03-01;43050;"19";"mar";3
"64";"CBA";2019-02-01;42651;"19";"feb";2
"65";"CBA";2019-01-01;42840;"19";"ene";1
"66";"CBA";2018-12-01;43091;"18";"dic";12
"67";"CBA";2018-11-01;43249;"18";"nov";11
"68";"CBA";2018-10-01;43000;"18";"oct";10
"69";"CBA";2018-09-01;42529;"18";"sep";9
"70";"CBA";2018-08-01;42183;"18";"ago";8
"71";"CBA";2018-07-01;41982;"18";"jul";7
"72";"CBA";2018-06-01;41882;"18";"jun";6
"73";"CBA";2018-05-01;41927;"18";"may";5
"74";"CBA";2018-04-01;42059;"18";"abr";4
"75";"CBA";2018-03-01;42140;"18";"mar";3
"76";"CBA";2018-02-01;41969;"18";"feb";2
"77";"CBA";2018-01-01;42506;"18";"ene";1
"78";"CBA";2017-12-01;41621;"17";"dic";12
"79";"CBA";2017-11-01;41593;"17";"nov";11
"80";"CBA";2017-10-01;40955;"17";"oct";10
"81";"CBA";2017-09-01;40590;"17";"sep";9
"82";"CBA";2017-08-01;40761;"17";"ago";8
"83";"CBA";2017-07-01;40204;"17";"jul";7
"84";"CBA";2017-06-01;39987;"17";"jun";6
"85";"CBA";2017-05-01;40451;"17";"may";5
"86";"CBA";2017-04-01;40756;"17";"abr";4
"87";"CBA";2017-03-01;40652;"17";"mar";3
"88";"CBA";2017-02-01;40510;"17";"feb";2
"89";"CBA";2017-01-01;40501;"17";"ene";1
"90";"LP";2024-05-01;229766;"24";"may";5
"91";"LP";2024-04-01;229715;"24";"abr";4
"92";"LP";2024-03-01;228788;"24";"mar";3
"93";"LP";2024-02-01;229781;"24";"feb";2
"94";"LP";2024-01-01;229787;"24";"ene";1
"95";"LP";2023-12-01;228507;"23";"dic";12
"96";"LP";2023-11-01;230178;"23";"nov";11
"97";"LP";2023-10-01;227227;"23";"oct";10
"98";"LP";2023-09-01;225402;"23";"sept";9
"99";"LP";2023-08-01;222155;"23";"ago";8
"100";"LP";2023-07-01;221123;"23";"jul";7
"101";"LP";2023-06-01;219549;"23";"jun";6
"102";"LP";2023-05-01;219940;"23";"may";5
"103";"LP";2023-04-01;220301;"23";"abr";4
"104";"LP";2023-03-01;220390;"23";"mar";3
"105";"LP";2023-02-01;218663;"23";"feb";2
"106";"LP";2023-01-01;219970;"23";"ene";1
"107";"LP";2022-12-01;218126;"22";"dic";12
"108";"LP";2022-11-01;216849;"22";"nov";11
"109";"LP";2022-10-01;212498;"22";"oct";10
"110";"LP";2022-09-01;210529;"22";"sept";9
"111";"LP";2022-08-01;207917;"22";"ago";8
"112";"LP";2022-07-01;205176;"22";"jul";7
"113";"LP";2022-06-01;201230;"22";"jun";6
"114";"LP";2022-05-01;199899;"22";"may";5
"115";"LP";2022-04-01;197636;"22";"abr";4
"116";"LP";2022-03-01;194488;"22";"mar";3
"117";"LP";2022-02-01;189635;"22";"feb";2
"118";"LP";2022-01-01;188338;"22";"ene";1
"119";"LP";2021-12-01;186022;"21";"dic";12
"120";"LP";2021-11-01;184911;"21";"nov";11
"121";"LP";2021-10-01;184102;"21";"oct";10
"122";"LP";2021-09-01;181216;"21";"sept";9
"123";"LP";2021-08-01;178958;"21";"ago";8
"124";"LP";2021-07-01;178345;"21";"jul";7
"125";"LP";2021-06-01;177176;"21";"jun";6
"126";"LP";2021-05-01;177124;"21";"may";5
"127";"LP";2021-04-01;176957;"21";"abr";4
"128";"LP";2021-03-01;176201;"21";"mar";3
"129";"LP";2021-02-01;176323;"21";"feb";2
"130";"LP";2021-01-01;176625;"21";"ene";1
"131";"LP";2020-12-01;174943;"20";"dic";12
"132";"LP";2020-11-01;174131;"20";"nov";11
"133";"LP";2020-10-01;173993;"20";"oct";10
"134";"LP";2020-09-01;172871;"20";"sept";9
"135";"LP";2020-08-01;171084;"20";"ago";8
"136";"LP";2020-07-01;170933;"20";"jul";7
"137";"LP";2020-06-01;170253;"20";"jun";6
"138";"LP";2020-05-01;170688;"20";"may";5
"139";"LP";2020-04-01;171113;"20";"abr";4
"140";"LP";2020-03-01;170581;"20";"mar";3
"141";"LP";2020-02-01;169883;"20";"feb";2
"142";"LP";2020-01-01;169347;"20";"ene";1
"143";"LP";2019-12-01;167973;"19";"dic";12
"144";"LP";2019-11-01;168639;"19";"nov";11
"145";"LP";2019-10-01;166847;"19";"oct";10
