ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc;nivel;cut_comuna;comuna;region
222111,3125;476790,1875;508851,5625;229562,5;520000;212587,8125;4,8125;2,625;5;3;37,1530376365997;11,51717565269170;pais;NA;NA;NA
203917,0000;500000,0000;500000,0000;200000,0;500000;200000,0000;5,0000;3,000;6;3;36,8151094589648;11,32952645232362;comuna;10101;Puerto Montt;NA
199778,0000;500000,0000;500000,0000;200000,0;500000;199778,0000;4,0000;2,000;4;2;41,7727748129477;9,01209112892964;comuna;10102;Calbuco;NA
193935,0000;400000,0000;450000,0000;185000,0;450000;193917,0000;3,0000;2,000;4;2;43,6751845091659;9,44183336570203;comuna;10104;Fresia;NA
178150,0000;450000,0000;482000,0000;190000,0;460000;150000,0000;4,0000;2,000;5;3;37,0124289945140;10,62628849478203;comuna;10105;Frutillar;NA
200000,0000;300000,0000;366667,0000;280000,0;400000;199778,0000;4,0000;2,000;4;2;46,9960168302946;8,54464004038106;comuna;10106;Los Muermos;NA
210000,0000;400000,0000;436667,0000;180000,0;400000;202278,0000;4,0000;2,000;5;3;39,4470011718335;9,90785498489427;comuna;10107;Llanquihue;NA
193000,0000;300000,0000;300000,0000;216000,0;400000;190000,0000;2,0000;1,000;3;2;46,0826122228223;8,89912384560738;comuna;10108;Maullín;NA
308526,0000;500000,0000;550000,0000;330000,0;550000;300000,0000;6,0000;3,000;7;4;39,9118641371347;11,86656411758944;comuna;10109;Puerto Varas;NA
255886,0000;430000,0000;452083,0000;290000,0;450000;218861,0000;5,0000;3,000;5;3;38,4341585489438;10,73729346377296;comuna;10201;Castro;NA
214778,0000;400000,0000;420000,0000;200000,0;410000;208667,0000;4,0000;2,000;5;3;44,8411401939557;9,88245652652443;comuna;10202;Ancud;NA
209778,0000;440000,0000;403333,0000;185000,0;500000;199778,0000;4,0000;2,000;4;2;41,9338071693446;8,95801609745490;comuna;10203;Chonchi;NA
213333,0000;480000,0000;416167,0000;600000,0;500000;209778,0000;4,0000;2,000;5;3;41,6917824920753;9,42186571598337;comuna;10204;Curaco de Vélez;NA
221000,0000;400000,0000;400000,0000;185000,0;400000;214974,0000;4,0000;2,000;4;2;44,1214928879030;8,61419959812467;comuna;10205;Dalcahue;NA
137500,0000;400000,0000;328333,0000;220000,0;450000;137500,0000;3,0000;2,000;3;2;40,6784182944259;8,81029890500150;comuna;10206;Puqueldón;NA
209778,0000;450000,0000;400000,0000;200000,0;500000;209778,0000;4,0000;2,000;5;3;44,2619047619048;9,25789265982636;comuna;10207;Queilén;NA
203000,0000;400000,0000;406667,0000;193000,0;420000;203000,0000;4,0000;2,000;5;3;39,5003357056533;9,49050888529875;comuna;10208;Quellón;NA
209778,0000;430000,0000;400000,0000;170000,0;500000;209778,0000;4,0000;2,000;5;3;47,0370919881305;8,92634920634922;comuna;10209;Quemchi;NA
203935,0000;400000,0000;366667,0000;150000,0;400000;193917,0000;3,0000;2,000;4;2;43,9318983339416;9,02155295461033;comuna;10210;Quinchao;NA
210000,0000;450000,0000;500000,0000;218000,0;480000;199778,0000;4,0000;2,000;5;3;39,6579546427044;11,27228582543683;comuna;10301;Osorno;NA
174750,0000;400000,0000;400000,0000;215000,0;407000;133333,0000;4,0000;2,000;5;3;39,0690789473682;9,39474416017797;comuna;10302;Puerto Octay;NA
209778,0000;400000,0000;400000,0000;170000,0;400000;199778,0000;4,0000;2,000;4;2;45,2576392194190;9,53334802004730;comuna;10303;Purranque;NA
195000,0000;400000,0000;400000,0000;180000,0;400000;193935,0000;3,0000;2,000;4;2;38,2672311600343;9,23829367255187;comuna;10304;Puyehue;NA
199778,0000;450000,0000;500000,0000;180000,0;500000;199778,0000;5,0000;3,000;5;3;39,9121135112239;9,21303780964795;comuna;10305;Río Negro;NA
199778,0000;350000,0000;280000,0000;180000,0;420000;199778,0000;3,0000;2,000;3;2;46,0057256990680;8,40432004867659;comuna;10306;San Juan de la Costa;NA
203935,0000;370000,0000;358333,0000;193000,0;400000;202129,0000;3,0000;2,000;3;2;44,6906747536011;8,82388687624163;comuna;10307;San Pablo;NA
239778,0000;500000,0000;580000,0000;230000,0;600000;231806,0000;5,0000;3,000;6;3;36,4657320126255;12,52024455332945;comuna;1101;Iquique;NA
67570,0000;430000,0000;450000,0000;179000,0;500000;64257,0000;4,0000;2,000;4;2;30,1186274297514;11,16643994081971;comuna;1107;Alto Hospicio;NA
254000,0000;500000,0000;600000,0000;210000,0;600000;245000,0000;6,0000;3,000;5;3;36,1003432753653;11,57912917571620;comuna;11101;Coihaique;NA
193917,0000;450000,0000;804167,0000;NA;700000;193917,0000;5,0000;3,000;4;2;45,0043763676149;9,14960629921259;comuna;11102;Lago Verde;NA
208111,0000;480000,0000;500000,0000;230000,0;500000;206326,0000;5,0000;3,000;4;2;36,3695842625040;10,28099761263780;comuna;11201;Aisén;NA
273334,0000;500000,0000;700000,0000;180000,0;450000;273334,0000;7,0000;4,000;6;3;36,6068989071039;10,90132827324476;comuna;11202;Cisnes;NA
469329,0000;475000,0000;500000,0000;630000,0;500000;469329,0000;8,0000;4,000;7;4;35,8136412459723;11,75888409166392;comuna;11301;Cochrane;NA
332129,0000;500000,0000;515000,0000;194000,0;700000;332129,0000;7,0000;4,000;6;3;36,8400000000000;11,02141327623127;comuna;11303;Tortel;NA
363333,0000;500000,0000;505833,0000;260000,0;500000;333333,0000;6,0000;3,000;5;3;38,2421585817259;10,97404436054743;comuna;11401;Chile Chico;NA
273917,0000;400000,0000;400000,0000;200000,0;600000;258467,0000;6,0000;3,000;5;3;47,9490774907751;8,49386892177592;comuna;11402;Río Ibáñez;NA
300000,0000;600000,0000;600000,0000;300000,0;600000;280000,0000;6,0000;3,000;5;3;38,6472918961224;12,02340832811140;comuna;12101;Punta Arenas;NA
500417,0000;500000,0000;700000,0000;253000,0;500000;500417,0000;7,0000;4,000;6;3;46,1712062256810;11,64285714285715;comuna;12102;Laguna Blanca;NA
809588,0000;1300000,0000;1341667,0000;365000,0;750000;809588,0000;8,0000;4,000;7;4;42,5242718446602;13,57142857142857;comuna;12103;Río Verde;NA
450000,0000;470000,0000;480000,0000;200000,0;480000;450000,0000;7,0000;4,000;6;3;52,6105263157894;8,38558558558559;comuna;12104;San Gregorio;NA
490000,0000;850000,0000;1167500,0000;NA;895000;490000,0000;9,0000;5,000;8;4;37,4266194331983;12,80519480519481;comuna;12201;Cabo de Hornos;NA
450000,0000;600000,0000;620000,0000;200000,0;620000;411318,0000;7,0000;4,000;6;3;39,4296345514945;10,57551955490100;comuna;12301;Porvenir;NA
550000,0000;600000,0000;658333,0000;200000,0;650000;550000,0000;7,0000;4,000;6;3;37,2140762463344;11,13600000000000;comuna;12302;Primavera;NA
600000,0000;680000,0000;750000,0000;NA;680000;600000,0000;8,0000;4,000;6;3;34,9584905660377;12,20093457943925;comuna;12303;Timaukel;NA
267570,0000;600000,0000;600000,0000;220000,0;600000;230000,0000;6,0000;3,000;4;2;41,3899043003240;10,84417398244216;comuna;12401;Natales;NA
720000,0000;770000,0000;785000,0000;116000,0;770000;720000,0000;9,0000;5,000;8;4;44,8996212121212;12,23284823284822;comuna;12402;Torres del Paine;NA
