cut_comuna;comuna;ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc
10101;Puerto Montt;203917;500000,0;500000,0;200000;500000;200000,0;5;3;6;3;36,8151094589610;11,32952645232435
10102;Calbuco;199778;500000,0;500000,0;200000;500000;199778,0;4;2;4;2;41,7727748129475;9,01209112892962
10104;Fresia;193935;400000,0;450000,0;185000;450000;193917,0;3;2;4;2;43,6751845091659;9,44183336570208
10105;Frutillar;178150;450000,0;482000,0;190000;460000;150000,0;4;2;5;3;37,0124289945138;10,62628849478200
10106;Los Muermos;200000;300000,0;366667,0;280000;400000;199778,0;4;2;4;2;46,9960168302945;8,54464004038110
10107;Llanquihue;210000;400000,0;436667,0;180000;400000;202278,0;4;2;5;3;39,4470011718334;9,90785498489426
10108;Maullín;193000;300000,0;300000,0;216000;400000;190000,0;2;1;3;2;46,0826122228232;8,89912384560739
10109;Puerto Varas;308526;500000,0;550000,0;330000;550000;300000,0;6;3;7;4;39,9118641371356;11,86656411758961
10201;Castro;255886;430000,0;452083,0;290000;450000;218861,0;5;3;5;3;38,4341585489442;10,73729346377285
10202;Ancud;214778;400000,0;420000,0;200000;410000;208667,0;4;2;5;3;44,8411401939554;9,88245652652432
10203;Chonchi;209778;440000,0;403333,0;185000;500000;199778,0;4;2;4;2;41,9338071693449;8,95801609745486
10204;Curaco de Vélez;213333;480000,0;416167,0;600000;500000;209778,0;4;2;5;3;41,6917824920751;9,42186571598336
10205;Dalcahue;221000;400000,0;400000,0;185000;400000;214974,0;4;2;4;2;44,1214928879029;8,61419959812458
10206;Puqueldón;137500;400000,0;328333,0;220000;450000;137500,0;3;2;3;2;40,6784182944259;8,81029890500148
10207;Queilén;209778;450000,0;400000,0;200000;500000;209778,0;4;2;5;3;44,2619047619048;9,25789265982636
10208;Quellón;203000;400000,0;406667,0;193000;420000;203000,0;4;2;5;3;39,5003357056533;9,49050888529887
10209;Quemchi;209778;430000,0;400000,0;170000;500000;209778,0;4;2;5;3;47,0370919881306;8,92634920634921
10210;Quinchao;203935;400000,0;366667,0;150000;400000;193917,0;3;2;4;2;43,9318983339414;9,02155295461033
10301;Osorno;210000;450000,0;500000,0;218000;480000;199778,0;4;2;5;3;39,6579546427043;11,27228582543696
10302;Puerto Octay;174750;400000,0;400000,0;215000;407000;133333,0;4;2;5;3;39,0690789473684;9,39474416017798
10303;Purranque;209778;400000,0;400000,0;170000;400000;199778,0;4;2;4;2;45,2576392194193;9,53334802004736
10304;Puyehue;195000;400000,0;400000,0;180000;400000;193935,0;3;2;4;2;38,2672311600339;9,23829367255182
10305;Río Negro;199778;450000,0;500000,0;180000;500000;199778,0;5;3;5;3;39,9121135112241;9,21303780964798
10306;San Juan de la Costa;199778;350000,0;280000,0;180000;420000;199778,0;3;2;3;2;46,0057256990679;8,40432004867660
10307;San Pablo;203935;370000,0;358333,0;193000;400000;202129,0;3;2;3;2;44,6906747536012;8,82388687624167
1101;Iquique;239778;500000,0;580000,0;230000;600000;231806,0;5;3;6;3;36,4657320126265;12,52024455332925
1107;Alto Hospicio;67570;430000,0;450000,0;179000;500000;64257,0;4;2;4;2;30,1186274297511;11,16643994081959
11101;Coihaique;254000;500000,0;600000,0;210000;600000;245000,0;6;3;5;3;36,1003432753651;11,57912917571621
11102;Lago Verde;193917;450000,0;804167,0;NA;700000;193917,0;5;3;4;2;45,0043763676149;9,14960629921260
11201;Aisén;208111;480000,0;500000,0;230000;500000;206326,0;5;3;4;2;36,3695842625040;10,28099761263778
11202;Cisnes;273334;500000,0;700000,0;180000;450000;273334,0;7;4;6;3;36,6068989071038;10,90132827324478
11301;Cochrane;469329;475000,0;500000,0;630000;500000;469329,0;8;4;7;4;35,8136412459721;11,75888409166390
11303;Tortel;332129;500000,0;515000,0;194000;700000;332129,0;7;4;6;3;36,8400000000000;11,02141327623126
11401;Chile Chico;363333;500000,0;505833,0;260000;500000;333333,0;6;3;5;3;38,2421585817261;10,97404436054743
11402;Río Ibáñez;273917;400000,0;400000,0;200000;600000;258467,0;6;3;5;3;47,9490774907749;8,49386892177590
12101;Punta Arenas;300000;600000,0;600000,0;300000;600000;280000,0;6;3;5;3;38,6472918961230;12,02340832811145
12102;Laguna Blanca;500417;500000,0;700000,0;253000;500000;500417,0;7;4;6;3;46,1712062256809;11,64285714285714
12103;Río Verde;809588;1300000,0;1341667,0;365000;750000;809588,0;8;4;7;4;42,5242718446602;13,57142857142857
12104;San Gregorio;450000;470000,0;480000,0;200000;480000;450000,0;7;4;6;3;52,6105263157895;8,38558558558559
12201;Cabo de Hornos;490000;850000,0;1167500,0;NA;895000;490000,0;9;5;8;4;37,4266194331984;12,80519480519481
12301;Porvenir;450000;600000,0;620000,0;200000;620000;411318,0;7;4;6;3;39,4296345514950;10,57551955490100
12302;Primavera;550000;600000,0;658333,0;200000;650000;550000,0;7;4;6;3;37,2140762463343;11,13600000000000
12303;Timaukel;600000;680000,0;750000,0;NA;680000;600000,0;8;4;6;3;34,9584905660377;12,20093457943925
12401;Natales;267570;600000,0;600000,0;220000;600000;230000,0;6;3;4;2;41,3899043003245;10,84417398244214
12402;Torres del Paine;720000;770000,0;785000,0;116000;770000;720000,0;9;5;8;4;44,8996212121212;12,23284823284823
13101;Santiago;489000;600000,0;650000,0;260000;600000;480000,0;7;4;6;3;34,4660112190120;14,16776451905119
13102;Cerrillos;215448;480000,0;500000,0;187000;500000;214750,0;5;3;4;2;36,3376376376376;11,70724889833288
13103;Cerro Navia;210000;450000,0;500000,0;150000;500000;210000,0;5;3;4;2;40,4668268106545;10,47138132790639
13104;Conchalí;208817;450000,0;480000,0;230000;500000;203917,0;4;2;4;2;42,1722755946525;11,42177599129382
13105;El Bosque;200000;450000,0;500000,0;200000;500000;200000,0;4;2;3;2;38,4025619118955;11,40437197945488
13106;Estación Central;326521;480000,0;500000,0;200000;500000;300000,0;5;3;4;2;36,6336133915415;12,15677970938395
13107;Huechuraba;200000;500000,0;565667,0;295000;600000;200000,0;5;3;4;2;36,9035037976424;12,27306435463818
13108;Independencia;400000;450000,0;500000,0;130000;458000;400000,0;6;3;5;3;34,0166961734068;13,22688971703714
13109;La Cisterna;320803;596113,5;600000,0;193000;650000;300000,0;6;3;5;3;38,7728690433890;12,79405031538443
13110;La Florida;318088;600000,0;600000,0;350000;650000;300000,0;6;3;5;3;39,3821371885574;12,59193745115222
13111;La Granja;209778;438889,0;429843,0;230000;480000;200000,0;4;2;3;2;40,7663785108638;10,70458808816633
13112;La Pintana;156000;430000,0;450000,0;190000;450000;106006,0;3;2;3;2;36,4400325519457;10,23287956427425
13113;La Reina;420917;1000000,0;1159167,0;400000;1200000;400000,0;8;4;8;4;38,7811230513698;14,79302543101269
13114;Las Condes;743000;1400000,0;1500000,0;600000;1500000;700000,0;10;5;9;5;42,3572021842473;15,58783918747355
13115;Lo Barnechea;280000;783605,0;823605,0;350000;700000;150000,0;9;5;8;4;35,6886933602078;14,06383199916831
13116;Lo Espejo;199778;424000,0;458000,0;193000;450000;193917,0;4;2;3;2;39,6678708136313;10,42959944193560
13117;Lo Prado;203917;423805,0;450000,0;185000;450000;199778,0;4;2;3;2;39,4087449345726;11,36936853014124
13118;Macul;400000;600000,0;658333,0;600000;650000;367000,0;6;3;6;3;38,9524069583707;13,37165590700927
13119;Maipú;248179;500000,0;555000,0;200000;550000;214393,0;6;3;5;3;38,0183264389471;12,42664462961880
13120;Ñuñoa;693470;1200000,0;1352000,0;400000;1340000;660000,0;9;5;8;4;39,8210421908449;15,60763637508263
13121;Pedro Aguirre Cerda;243917;450000,0;480000,0;205000;450000;230000,0;5;3;4;2;38,6566079357448;11,02831502937147
13122;Peñalolén;273917;500000,0;510000,0;248000;500000;260000,0;6;3;5;3;39,3683962037969;12,40974773342099
13123;Providencia;1000000;1500000,0;1714071,0;700000;1500000;953333,0;10;5;9;5;40,1601698733974;16,25641007499646
13124;Pudahuel;236000;500000,0;550000,0;170000;550000;200000,0;6;3;5;3;37,2902750396414;11,84711282590677
13125;Quilicura;208785;480000,0;500000,0;200000;500000;200000,0;5;3;4;2;33,7724584990827;12,19940354897946
13126;Quinta Normal;400000;500000,0;500000,0;120000;500000;400000,0;6;3;5;3;33,3877841819905;12,81401894451962
13127;Recoleta;260879;450000,0;500000,0;200000;450000;240000,0;5;3;4;2;38,6190485933504;11,47486351650800
13128;Renca;193000;440000,0;463333,0;188000;480000;150000,0;4;2;3;2;35,6726167051995;10,87586764441686
13129;San Joaquín;270000;480000,0;502500,0;288000;500000;230000,0;5;3;4;2;38,6698143266808;11,79086965796772
13130;San Miguel;421694;620000,0;700000,0;215000;700000;408334,0;7;4;6;3;36,3476828714221;14,09351796981211
13131;San Ramón;223917;450000,0;500000,0;170000;500000;204750,0;4;2;3;2;42,5765453903214;10,75368796878027
13132;Vitacura;950000;2000000,0;2000000,0;650000;2000000;922250,0;10;5;9;5;43,0525792430393;16,23183513296122
13201;Puente Alto;200000;500000,0;520000,0;200000;520000;193917,0;5;3;4;2;36,6537267432638;12,03118632822734
13202;Pirque;211671;410000,0;451667,0;200000;450000;200000,0;5;3;4;2;36,1718832891247;11,90746093750000
13203;San José de Maipo;244051;400000,0;405000,0;278000;500000;240000,0;5;3;4;2;40,3854757321958;11,44726827065729
