cut_comuna;comuna;pobreza_p;pobreza_multi_p
10101;Puerto Montt;0,07953222295347542;0,1557340295506650
10102;Calbuco;0,06248491512242216;0,4011370645498673
10104;Fresia;0,09784937703356876;0,2672803745734466
10105;Frutillar;0,05646453366995193;0,2064378307520513
10106;Los Muermos;0,11461430575035063;0,2962131837307153
10107;Llanquihue;0,01427506125492703;0,1468520294023650
10108;Maullín;0,20700378583017848;0,4074499729583559
10109;Puerto Varas;0,01509366424054409;0,1178658075806387
10201;Castro;0,01600794192467581;0,1844842919484602
10202;Ancud;0,04545240561152434;0,2182704076828924
10203;Chonchi;0,03844252163164401;0,2791100123609394
10204;Curaco de Vélez;0,06851987320165813;0,2228724701292368
10205;Dalcahue;0,02949236591413285;0,3358345295576145
10206;Puqueldón;0,22034302048594570;0,2544068604097189
10207;Queilén;0,01659451659451660;0,3944805194805195
10208;Quellón;0,08647777628575265;0,2905532429166107
10209;Quemchi;0,11036293083770829;0,2346496233736590
10210;Quinchao;0,14289188860513194;0,2804329320199441
10301;Osorno;0,06659820282413351;0,1364199115675367
10302;Puerto Octay;0,14747807017543860;0,4330043859649123
10303;Purranque;0,09638267491670632;0,2626368396001904
10304;Puyehue;0,00922946655376799;0,2060118543607113
10305;Río Negro;0,02774248199915290;0,2339404207256812
10306;San Juan de la Costa;0,16391478029294274;0,4255659121171771
10307;San Pablo;0,09590598938589841;0,2600454890068233
1101;Iquique;0,06330684663110918;0,1578143028192011
1107;Alto Hospicio;0,15945951798358632;0,3221599070324737
11101;Coihaique;0,02969655753100813;0,1466368729557304
11102;Lago Verde;0,24617067833698031;0,1641137855579869
11201;Aisén;0,06630296272698312;0,1275485823510672
11202;Cisnes;0,05071721311475410;0,1277322404371585
11301;Cochrane;0,00000000000000000;0,2005907626208378
11303;Tortel;0,00000000000000000;0,3165217391304348
11401;Chile Chico;0,00292226767971946;0,0601987142022209
11402;Río Ibáñez;0,09077490774907750;0,1594095940959410
12101;Punta Arenas;0,03548000526450684;0,0689650395184362
